Time	    w1         	w2         	w3
0.00	14.015385	14.015385	13.606399
60.00	14.347394	14.347394	13.976506
120.00	14.650607	14.650607	14.312010
180.00	14.929121	14.929121	14.618204
240.00	15.186244	15.186244	14.899286
300.00	15.424683	15.424683	15.158642
360.00	15.646680	15.646680	15.399039
420.00	15.835738	15.835738	15.598435
480.00	15.982595	15.982595	15.743091
540.00	16.128115	16.128115	15.886430
600.00	16.272333	16.272333	16.028487
660.00	16.415285	16.415285	16.169297
720.00	16.557002	16.557002	16.308890
780.00	16.697517	16.697517	16.447299
840.00	16.595810	16.595810	16.333147
900.00	16.360347	16.360347	16.078168
960.00	16.107444	16.107444	15.803079
1020.00	15.834724	15.834724	15.504946
1080.00	15.539315	15.539315	15.180179
1140.00	15.217709	15.217709	14.824323
1200.00	14.865561	14.865561	14.431765
